PROMOVAT,Product Name,Price (lei),Negociabil,Used,Location
0,GeForce GTX 1080 Ti Aorus Xtreme Edition 11 GB,950,0,1,"Bucuresti, Sectorul 2"
0,Cutie placa video rtx30,7050,0,1,"Bucuresti, Sectorul 6"
0,"MSI nVidia GeForce RTX 4060 Ti GAMING X 8GB GDDR6 128bit, Nou, Sigilat",1599,0,0,"Bucuresti, Sectorul 3"
0,Sapphire Nitro+  Radeon RX580 8gb,600,1,1,"Bucuresti, Sectorul 4"
0,Nvidia GEFORCE RTX 3060 Ti/8 gb,1400,0,0,Nicolae Balcescu
0,Placa video Gigabyte Vision GeForce rtx 3080 sg 10GB,1800,0,1,"Bucuresti, Sectorul 4"
0,Placa video Sapphire RX 6600 GAMING 8GB GDDR6 ca noua﻿ garantie 3 luni,875,0,1,"Bucuresti, Sectorul 6"
0,"Placa video AMD RX 7900 XTX Sapphire Nitro+, Vapor-x",4700,0,1,Cluj
1,Placa video Gigabyte GeForce RTX 3080 Ti Gaming OC N308TGAMING OC-12G,2800,0,1,"Bucuresti, Sectorul 3"
1,Placa Video Gigabyte RTX 4060Ti Eagle 8GB GDDR6 SIGILATA,1900,0,0,Iasi
0,Placa video PCI express HIS ATI Radeon HD4670 heatpipe Zalman,200,0,1,"Bucuresti, Sectorul 6"
0,"Placa video HP Nvidia Quadro RTX 4000, 8 Gb, 3 DP, USBC",1700,0,0,Sibiu
0,Placă video GPU Nvidia: GeForce3,1045,0,1,Cluj
0,Vand placa video rtx3060ti,1700,1,1,"Bucuresti, Sectorul 4"
0,placa video pc Nvidia Quadro M4000 8GB Hp 818241-001 818867-001 4xDP,650,0,1,"Bucuresti, Sectorul 4"
0,Placa video Asus Rtx 3060 Dual Oc 8GB GDDR6 128-bit,1249,0,0,"Bucuresti, Sectorul 3"
0,Placa Video Gainward GeForce GTX 1050ti,250,1,1,Iasi
0,Placa video MSI Radeon RX 580 Armor OC 8GB DDR5 256-bit,309,0,1,Brasov
0,Gigabyte RTX 3080 AORUS RGB Xtreme Waterforce 10GB GPU placa video,4000,0,1,Iasi
0,NVIDIA GTX-1060 3 GB 3 video : HDMI DVI DisplayPort placa video GAMING,350,0,1,"Bucuresti, Sectorul 2"
1,Placa video Inno3D GeForce RTX 4090 iCHILL X3 24GB GDDR6X,7000,0,1,Timisoara
1,Placa video Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
1,Placa video PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
0,Placa video Asus Rtx 3060 Ti 8GB Gddr6x dual oc 256 biti,1579,0,0,"Bucuresti, Sectorul 2"
0,Placa video Rx58,349,0,1,Turda
0,Sapphire Radeon RX 5500 XT PULSE 4GB GDDR6 128-bit,550,0,1,Cluj
0,Placa video si rami,200,0,1,Pascani
0,Placa video Nvidia Vanta 16mb,40,0,1,Sibiu
0,GTX 970 g1 gaming,400,0,1,Galati
0,CALCULATOR GAMING i5 16 GB RAM 750GB Placa VIDEO 8GB Garantie 12 Luni,1280,0,1,"Bucuresti, Sectorul 3"
0,Placa Video nVidia Quadro NVS 510 2GB DDR3 128 bit HDMI,100,0,1,"Bucuresti, Sectorul 3"
0,Placa Video ASUS ROG STRIX GTX 1070TI 8GB pe 256 biti ca noua,950,0,1,Iasi
0,Placa video 2Gb GDDR,5150,0,1,Pitesti
1,Placa Video nVidia Quadro NVS 510 2GB DDR3 128 bit HDMI,100,0,1,"Bucuresti, Sectorul 3"
1,Placa Video Palit GeForce RTX 3080 10gb,2000,0,1,"Bucuresti, Sectorul 4"
0,Placa video Asus strix 1070ti,600,0,1,"Bucuresti, Sectorul 6"
0,Placa video Palit Geforce GTX107,680,1,1,"Bucuresti, Sectorul 1"
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăPlaca video GIGABYTE GV-R925128DE,90,0,1,Bacau
0,Placa video Sapphire Radeon R7 260X OC 2GB GDDR5 128-bit,200,0,1,Oradea
0,Placa video Palit JetStream Geforce GTX107,700,1,1,"Bucuresti, Sectorul 1"
0,"Placi video gaming Saphire RX 580 8GB ,Nitro Special Edition",400,1,1,Pucioasa
0,Placa video Asus AD-RV610LE ATI Radeon HD2400 Pro 128MB DDR2 PCI-E,30,0,1,"Bucuresti, Sectorul 2"
0,Placa video 1050ti cerberus,450,0,1,Ploiesti
0,"Placa video gaming  RX 5700XT Nitro+ Saphire , OFERTA",900,1,1,Pucioasa
1,Gigabyte GTX 1080 ti Waterforce WB Extreme Edition 11G Aorus,2000,1,0,Runcu
1,Placa video RX 5600XT,600,1,1,Brasov
0,Vand Placa video GTX 1650 OC zotec gaming,500,1,1,Oradea
0,Placa video  MSI RTX 3080Ti X Trio,3180,1,1,Alexandru cel Bun
0,Placa Video GeForce GTX Gigabyte 1080Ti Aorus 11GB 352-bit,1700,0,1,"Bucuresti, Sectorul 6"
0,Editor video Premiere Pro/After Effects,100,1,0,Suceava
0,RTX 3070 Palit Gamerock,2000,0,1,Pitesti
0,Placa NVIDIA Geforce RTX 3090 TURBO 24GB,4000,1,1,"Bucuresti, Sectorul 6"
0,Nvidia rtx 2070 super oc,1100,0,1,Constanta
0,"Placa de captura video, RoHS STD , HDMI la USB 2.0, 1080p 60 FPS",250,0,0,Vaslui
1,Placa Video Gigabyte RTX 4060Ti Eagle 8GB GDDR6 SIGILATA,1900,0,0,Iasi
1,"Placa video Gaming ASUS nvidia GeForce 1050 , 2GB GDDR5 128 Bit GDDR",5250,0,1,"Bucuresti, Sectorul 3"
1,Placa video RX 570 Gaming  NITRO+  8 GB GDDR5 256-bit Garantie 6 Luni,450,0,1,"Bucuresti, Sectorul 3"
0,Placa video ASUS,50,0,1,Calarasi
0,Vand 3 placi video,55,0,1,Craiova
0,Rig mining/rig minat 6x ASUS GTX 1060 6GB,5474,1,1,Deva
0,"Placa video RX 580, XFX, 4 Gb",800,1,1,Cluj
0,Placa video Msi RTX 3090 Suprim,4500,0,1,Pitesti
0,placa video Gtx 1660 Super cu Garantie,1250,0,1,Drobeta
0,Placa video Palit GeForce® RTX3060Ti similar RTX3070,1350,1,1,"Bucuresti, Sectorul 5"
0,"Placa video nVidia Quadro K2000, 2GB GDDR5, 1 x DVI, 2 x DisplayPort",100,0,1,Arad
0,"Placa video Gainward nVidia GeForce 9800 GTX+ 512MB GDDR3, 256bit",60,0,1,Arad
0,Placa video RTX 3080 Vision defecta,500,0,1,"Bucuresti, Sectorul 2"
1,CALCULATOR GAMING i5 16 GB RAM 750GB Placa VIDEO 8GB Garantie 12 Luni,1280,0,1,"Bucuresti, Sectorul 3"
1,"Vand mining rig rx560, rx580 4g,8g saphire",4599,0,1,Alba Iulia
1,Vând 4080 Super Rog Strix OC,6900,1,0,Slanic
0,Placa video Palit GeForce® RTX3070 GameRock,1600,1,1,"Bucuresti, Sectorul 5"
0,Sapphire pulse Radeon RX 550 4gb GDDR,5450,0,0,Rovinari
0,Cablu de alimentare placa video pe molex si sata,25,0,0,Zalau
0,Vand urgent placa video AMD Radeon HD6950 2gb GDDR,5250,0,1,Rovinari
0,"Placa video Gigabyte GeForce RTX 4060 Low Profile OC8GB,GDDR6,sigilat",1600,0,0,"Bucuresti, Sectorul 4"
0,Placa video GeForce RTX™ 4080 16GB GAMING X TRIO,8000,0,1,"Bucuresti, Sectorul 5"
0,"Placa video rx 7900 GRE 16 gb gddr6 NOUA, sigilata",2400,0,0,Sibiu
0,Sapphire Pulse Radeon RX 590 8GB GDDR,5550,1,1,"Bucuresti, Sectorul 4"
0,Recuperare placa video (vbios flash),200,1,0,"Bucuresti, Sectorul 6"
1,Placa video Inno3D GeForce RTX 4090 iCHILL X3 24GB GDDR6X,7000,0,1,Timisoara
1,Placa video Palit GTX 1660 Ti StormX 6GB DDR,6700,1,1,Vaslui
0,nVidia GeForce - Inno3D iChill GTX 650 2 GB GDDR5 128 bit,200,1,1,Oradea
0,Placa video AMD RX 7900 XTX Merc 310 24Gb,3700,0,0,Ploiesti
0,"Placa video Asus nVidia GeForce 9800GTX 512MB GDDR3, 256bit, PCI-E",150,0,1,"Bucuresti, Sectorul 2"
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăRTX 3070 XC3 Ultra Black Gaming EVGA 8GB GDDR6 256-bit,1599,0,1,"Bucuresti, Sectorul 6"
0,Placa video geoforce gtx 1650 dual,630,1,1,Codlea
0,Vand MSI GTX 970 4GD5T,200,0,1,Sanislau
0,Placa video nVidia Quadro K200,160,0,1,Timisoara
0,Sistem PC Gaming RTX 3060 Ti 16GB RAM i7 9700K RGB 2.25 TB SSD Liquid,3400,0,0,"Bucuresti, Sectorul 6"
0,Placa video HD 5750 1 GB GDDR,5100,0,1,Iasi
0,placa video nvidia GT520 de 1Gb Zotac,40,0,1,Cluj
1,Placa video Sapphire Radeon RX 7700 XT Pulse,1899,0,1,Targu Neamt
1,Vând 4080 Super Rog Strix OC,6900,1,0,Slanic
1,"Vand mining rig rx560, rx580 4g,8g saphire",4599,0,1,Alba Iulia
0,Placa video Nvidia Quadro K2200 4GB DDR5 - proiectare CAD,300,0,1,Bistrita
0,Asus ROG STRIX RTX Gaming 2080ti 11GB OC,1900,0,1,Cluj
0,Sapphire Radeon RX 5700 XT NITRO+ 8GB GDDR6 256-bit model premium,800,0,1,Satu Mare
0,Msi nvidia gtx 650 1gb,100,0,1,Inotesti
0,Placa video MSI GAMING X SLIM GeForce RTX® 4070 12GB GDDR6X este nou,2700,0,0,Constanta
0,Placa video Sapphire Radeon RX 5500 XT NITRO+ 8GB GDDR6 128-bit.,600,0,1,"Bucuresti, Sectorul 4"
0,"Placa video ZOTAC GAMING GTX 1660 SUPER Twin Fan , 6 gb , ca noua",650,0,1,"Bucuresti, Sectorul 6"
0,Razer CoreX eGPU cu XFX Radeon RX580 8GB Ram DDR5,3000,1,1,Targu
0,Placa video Rx6650xt 8gb,1300,1,0,Botosani
0,"Placa video Sapphire PULSE RADEON RX 5500 XT, 8GB, GDDR6, 128-bit",600,1,1,"Bucuresti, Sectorul 3"
1,nVidia RTX A2000 6GB - placa video profesionala noua SFF low profile,1100,0,0,Corbeanca
1,Vand Placa video ASUS RX570 4Gb EXPEDITION,250,0,1,Cluj
1,Placa video RX 5600XT,600,1,1,Brasov
0,"Placa video Sapphire AMD Radeon RX 6800 PULSE 16GB, garantie vexio.",1500,1,1,Pitesti
0,Placa Video AMD Radeon RX46,300,0,1,Palazu Mare
0,Placa Video GTX 970 Windforce,250,0,1,Timisoara
0,Placa video ASUS ROG Strix GeForce RTX 3070 TI OC Edition aproape nou,1750,0,1,Targu Jiu
0,"Placa Video RX 6900XT , SAPHIRE nitro plus SE , garantie emag",2300,0,0,Iasi
0,Placa video msi radeon R7 240 2gb,125,0,1,"Bucuresti, Sectorul 6"
0,Sapphire Radeon R7 240 2 gb ddr,3100,0,1,"Bucuresti, Sectorul 1"
0,Placa video PowerColor Radeon RX 6900 XT 16GB GDDR6 256-bit,2000,0,1,"Bucuresti, Sectorul 2"
0,"Placa video MSI NVIDIA GeForce FX 5500,1200MB,64biti,AGP,TV-out,dvi",80,0,1,Pitesti
1,GIGABYTE AORUS GeForce RTX 3060 Ti Elite lhr 8GB gddr6 256-bit,1399,0,1,Pitesti
1,CALCULATOR GAMING i5 16 GB RAM 750GB Placa VIDEO 8GB Garantie 12 Luni,1280,0,1,"Bucuresti, Sectorul 3"
1,Gigabyte GeForce GTX 1060 WINDFORCE OC 6GB,380,1,1,Alexandru cel Bun
0,Placa video RX 7900 XT PowerColor Hellhound 20GB GDDR6 noua,2850,1,0,"Bucuresti, Sectorul 5"
0,Vand Amd Rx 6800 16 Gb Vram PowerColor Fighter,1600,0,1,"Bucuresti, Sectorul 5"
0,Asus Tuf OC GTX165,600,1,1,Constanta
0,AMD RX 7800 XT - Ocazie,1900,1,0,"Bucuresti, Sectorul 5"
0,Nvidia geforce RTX 4080 Super cu garantie,5500,0,1,Turia
0,Placi video DDR3 / update lista,50,0,1,"Bucuresti, Sectorul 2"
0,Vand Rtx 3080 ti,3600,1,1,Pietris
0,Placa video gt730 4gb ddr,3300,1,1,Bacau
0,"Placa video ASUS GeForce® GTX 1080 Ti Turbo, 11GB GDDR5X, 352-bit",1500,0,1,"Bucuresti, Sectorul 3"
0,Placa video asus  r7240-2gd3-l,200,1,1,Bacau
1,Vand Placa video ASUS RX570 4Gb EXPEDITION,250,0,1,Cluj
1,Placa video ASUS ROG Strix GeForce RTX 3070 TI OC Edition aproape nou,1750,0,1,Targu Jiu
1,RTX 3060 12GB de la Asus noua sigilata,1350,1,0,Suceava
0,GTX 970 Gaming,4300,0,1,Borcea
0,"Vand placa video ASUS TUF Gaming GeForce GTX 1650, 4GB GDDR6, 128-bit",450,0,1,Craiova
0,Vand placa video evga gtx106,350,1,1,Oradea
0,Salvează căutareaTe anunțăm oricând apar anunțuri noi.SalveazăPlaca video XFX RX 570 8Gb 256 biti,350,0,1,Patarlagele
0,"Kit i3 6100+ placa de baza HP G2, socket115",1170,0,1,Targu
0,Placa video GIGABYTE GeForce 8500 GT 512MB GDDR2 128-bit,50,0,1,Pitesti
0,Placa video Nvidia 9600 GT,100,0,1,Ploiesti
0,MSI RTX 2060 12GB 192BIT,1200,0,1,Craiova
0,"Placă video ASUS, ieșită din garanție.",100,0,1,Vetis
0,Placa Video GTX 960 Asus Strix 4GB,230,0,1,Sighetu Marmatiei
1,GIGABYTE AORUS GeForce RTX 3060 Ti Elite lhr 8GB gddr6 256-bit,1399,0,1,Pitesti
1,Placa video RTX 4070 OC  12GB  Garantie,2299,0,1,"Bucuresti, Sectorul 4"
